"time" "cumhaz"
"427" 1810 1.16280363949327
"428" 1819 1.16989583807483
"429" 1820 1.17709008267914
"430" 1860 1.184232939822
"431" 1882 1.1914793166336
"432" 1975 1.19899811362608
"434" 1990 1.21420745898809
"435" 1998 1.22208147473613
"436" 2011 1.22989397473613
"437" 2015 1.23783048267263
"438" 2030 1.24596056397345
"439" 2068 1.25465621614736
"440" 2112 1.26366522515637
"441" 2146 1.27292448441563
"442" 2194 1.28244829393944
"443" 2196 1.29206367855482
"444" 2300 1.30196466865383
"445" 2354 1.31216875028648
"446" 2385 1.32237283191914
"447" 2432 1.33257691355179
"448" 2440 1.34299358021846
"449" 2478 1.3536318780908
"450" 2589 1.36525978506754
"451" 2693 1.37775978506754
"452" 2695 1.39058029788805
"453" 2765 1.40308029788805
"454" 2767 1.41606731087507
"455" 2831 1.42888782369558
"456" 2983 1.44258645383257
"457" 2999 1.45667096087482
"458" 3024 1.47055984976371
"459" 3099 1.4850526033869
"460" 3108 1.49975848573984
"461" 3126 1.51563150161285
"462" 3133 1.53078301676437
"463" 3192 1.54665603263739
"464" 3252 1.56278506489545
"465" 3358 1.57891409715351
"466" 3398 1.59586324969589
"467" 3484 1.61340710934501
"468" 3545 1.63192562786353
"469" 3557 1.6511563970943
"470" 3565 1.67038716632507
"471" 3656 1.69038716632507
"472" 3797 1.71212629675985
"473" 3801 1.73434851898207
"474" 4041 1.75873876288451
"475" 4108 1.78373876288451
"476" 4366 1.81231019145594
"477" 4720 1.84456825597207
"478" 4747 1.8779015893054
"479" 4763 1.91361587501969
"480" 4826 1.94694920835302
